34.0522,-118.2447,0.021
34.0523,-118.2438,0.031
34.0524,-118.2449,0.023
34.0525,-118.244,0.032
34.0526,-118.2441,0.021
34.0527,-118.2442,0.033
34.0528,-118.2443,0.022
34.0529,-118.2444,0.034
34.053,-118.2445,0.047
34.0531,-118.2446,0.031
34.0532,-118.2447,0.022
34.0533,-118.2448,0.034
34.0534,-118.2449,0.029
34.0535,-118.245,0.042
34.0536,-118.2451,0.032
34.0537,-118.2452,0.023
34.0538,-118.2453,0.036
34.0539,-118.2454,0.021
34.054,-118.2455,0.031
34.0541,-118.2456,0.037
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
